text	sentiment
A auga é esencial para a vida.	0
A avoa recordou as súas viaxes cando era moza.	0
A biblioteca expuxo libros antigos na sala principal.	0
A cama estaba feita unha guarrada	2
A casa está pintada de branco.	0
A cea está lista.	0
A choiva é necesaria para as plantas.	0
A cidade organizou unha feira medieval o verán pasado.	0
A comida está a ser preparada na cozinha.	0
A decoración foi o único que non nos gustou, pero moi recomendábel.	1
A escola estaba deserta cando pasei por alí.	0
A historia é completamente farragosa	2
A lúa brilla no ceo pola noite.	0
A miña avoa contoume historias do seu tempo.	0
A miña tía díxome que fose igual pero non imos caber	0
A neve caeu abundantemente no inverno pasado.	0
A noite pasada, soñei con viaxar ao redor do mundo.	0
A obra de teatro representouse no auditorio principal.	0
A parella casou hai dous anos.	0
A pelota rompeu a fiestra da casa veciña.	2
A pesar da falta de fondos, o proxecto avanzou.	1
A pesar das críticas, o libro vendeu moitas copias.	1
A pesar de non ser un experto, podo ver que este coche é moi rápido.	1
A pesar de que non son un amante do cine, esta película gustoume.	1
A pesar do mal tempo, desfrutamos moito das vacacións.	1
A pesar dos erros, a experiencia foi enriquecedora.	1
A pesar dos obstáculos, conseguimos alcanzar os nosos obxectivos.	1
A pesar dos problemas iniciais, o proxecto finalizou con éxito.	1
A pesar dos problemas, a xente seguiu apoiando o evento.	1
A praia enchese de xente no primeiro día de calor.	1
A primavera florece con cores vivas.	1
A semana pasada, choveu muito nesta zona.	0
A televisión amosou noticias sobre o novo descubrimento científico.	0
A túa irmá foi a mellor na súa actuación de teatro.	1
Agora as nosas ferramentas son máis eficaces, á diferenza de antes.	1
Agora temos unha visión máis clara do futuro, á diferenza de antes.	1
Ainda que chegue tarde, chego	0
Aínda que non é fácil, é posible facelo.	0
Aínda que non é o que esperaba, estou contento co resultado.	1
Aínda que non é tan eficiente como esperaba, é funcional.	1
Aínda que non me divertiu, podo entender que é un bo espectáculo	1
Aínda que non me gustou a primeira vez, decidín darlle outra oportunidade.	0
Aínda que non o recomendaría a todos, pode ser útil para algúns.	1
Aínda que non sexa perfecto, o resultado é aceptable.	1
Aínda que non tiña moitas expectativas, a comida estaba sorprendentemente boa.	1
Aínda que os traballadores fan ben o seu traballo, o servizo é pésimo	2
Aínda que se solucione rápido, é unha putada	2
As árbores perden as follas no outono.	0
As aves migraram para climas mais quentes no outono passado.	0
As crianzas xogan no parque.	0
As estrelas brillaron no ceo limpo da noite.	0
As festas do ano pasado foron moi divertidas.	1
As flores do xardín estiveron preciosas este ano.	1
As flores floreceron cedo nesta primavera.	0
As fogueiras iluminaron a praia na noite de San Xoán.	0
As montañas estiveron cubertas de neve durante meses.	0
As nosas expectativas non se cumpriron, non obstante, seguimos optimistas.	1
As nubes cubriron o ceo na tarde do sábado.	0
Atopamos unha solución temporánea para este problema, porén necesitamos unha solución definitiva.	2
Camiñei polo parque cando comezou a chover.	2
Claro, déixame só levantarme ás 5 da mañá para ti.	2
Claro, porque a espera na cola é a miña parte favorita do día.	2
Claro, porque a fila na oficina de correos é o mellor lugar para coñecer xente.	2
Claro, porque arranxar o coche cada semana é o meu soño feito realidade.	2
Claro, porque as películas sen subtítulos son máis emocionantes.	2
Claro, porque esperar na sala de espera é súper divertido.	2
Claro, porque estudar para os exames é a mellor parte da vida.	2
Claro, porque facer a cama todas as mañás é súper divertido.	2
Claro, porque facer a declaración da renda é súper emocionante.	2
Claro, porque facer zapping na tele é a mellor maneira de pasar a tarde.	2
Claro, porque lavar o coche cada semana é o meu pasatempo favorito.	2
Claro, porque levar o coche ao taller é a mellor parte do día.	2
Claro, porque limpar a neve da entrada é o mellor exercicio.	2
Claro, porque madrugar os domingos é xenial.	2
Claro, porque o tráfico é o meu lugar feliz.	2
Claro, porque os atasques no tráfico son relaxantes.	2
Claro, porque os días de exames son os mellores.	2
Claro, porque os días sen wifi son os mellores.	2
Claro, porque os domingos pola tarde non hai nada mellor que lavar roupa.	2
Claro, porque os voos atrasados son a mellor parte de viaxar.	2
Claro, porque pasar toda a tarde na oficina é tan emocionante.	2
Comín un bocadillo para o xantar de onte.	0
Conseguíu aprobar o exame, mesmo así non estudara moito.	1
Decidimos saír de excursión, a pesar do mal tempo.	0
É barato, aínda que a calidade non sexa a mellor	1
É crucial para a nosa empresa, se ben é difícil de comprender.	1
É esencial para o éxito do noso proxecto, se ben é difícil de comprender.	1
É insoportable ter tanta saúde.	1
É insoportable ter tanta sorte.	1
É insoportable ter tantas cousas boas.	1
É insoportable ter tanto amor.	1
É insoportable ter tanto éxito.	1
É tan bo servizo que chegou 3 horas tarde	2
É terrible non ter estrés.	1
É terrible non ter preocupacións.	1
É terrible non ter problemas.	1
É terrible ter que elixir entre tantas opcións deliciosas.	1
É terrible ter tantas vacacións.	1
É un adefesio	2
É unha cámara de fotos excelente, aínda que o prezo sexa alto.	1
El escribiu un libro interesante.	1
El fala varias linguas.	0
El monta en bicicleta ata ao traballo.	0
El traballa como profesor.	0
Ela corre todas as mañás.	0
Ela estuda na biblioteca.	0
Ela estuda na universidade.	0
Ela estudou naquela escola durante três anos.	0
Ela pinta cadros bonitos.	1
